,,,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan
147,858a. A,齭,—,tṣʰɑᴮ,,,楚,tshraʔ,tṣʰɑᴮ,,,,,,,,,
148,2774b. A,䝪,sraʔ,ṣɑᴮ,,,所,sraʔ,ṣɑᴮ,,,,,,,,,
149,2831b. A,𨝬,hŋaʔ,hɨɑᴮ,,,許,hŋaʔ,hɨɑᴮ,,,,,,,,,
150,3535b.A,俌,phaʔ,pʰuɑᴮ,,,撫,phaʔ,pʰuɑᴮ,,,,,,,,,
151,2856b. B,鄅,???,???,,,榘,kwaʔ,kyɑᴮ,,Coblin also gives 榘 a voiced initial reading,,,,,,,
152,5193a. A,䨞,waʔ,wɑᴮ,,,禹,waʔ,wɑᴮ,,,,,,,,,
153,3205a. A,㼌,???,???,,,庾,joʔ,joᴮ,,,,,,,,,
154,1350a. C,𢻬,phaʔ,pʰuɑᴮ,,,撫,phaʔ,pʰuɑᴮ,,,,,,,,,
155,4026a.,卸,???,???,,,寫,saʔ,siaᴮ,,,,,,,,,
156,4240a. B*,豦,"ɡa,ɡah",ɡɨɑ(ꟲ),,,蘮,???,???,,,,,,,,,
157,378a. A*,𦺉,pah,puɑꟲ,,,傅,pah,puɑꟲ,,,,,,,,,
158,1578a. B,瞿,kwakh,kyɑꟲ,,,句,—,kuoꟲ,,,,,,,,,
159,3543a. A,侸,???,???,,,樹,doh,dźoꟲ,,,,,,,,,
160,3861b. A,𧡸,tô,to,,,兜,tô,to,,,,,,,,,
161,4396b. A,獳,???,???,,,槈,"nûk, nôkh","nouk, noꟲ",,,,,,,,,
162,181a. A,玽,kôʔ,koᴮ,,,苟,kôʔ,koᴮ,,,,,,,,,
163,1362b.A,敂,khôʔ,kʰoᴮ,,,扣,khôʔ,kʰoᴮ,,,,,,,,,
164,1928b. B*,筟,???,???,,,彄,???,???,,,,,,,,,
165,2601b. A,橾,???,???,,,藪,sôʔ,soᴮ,,,,,,,,,
166,1759a. A,臑,no,ńo,,,襦,no,ńo,,,,,,,,,
167,1305b. A,儿,do,dźo,,,殊,do,dźo,,,,,,,,,
168,3050b. A*,牏,lo,jo,,,俞,lo,jo,,,,,紐,nruʔ,ṇuᴮ,,
169,4700a. A,𢜮,moʔ R!,muoᴮ,,,侮,moʔ R!,muoᴮ,,,,,,,,,
170,4632b. A,竘,"khoʔ, khôʔ",kʰ(ɨ)oᴮ,,,齲,???,???,,,,,,,,,
171,1562a. A,𦎦,moh,muoꟲ,,,霚,moh,muoꟲ,,,,,,,,,
172,767a. A,𨙔,droh,ḍioꟲ,,,住,droh,ḍioꟲ,,,,,,,,,
173,831a. A,亍,???,???,,,畜,rhukh,ṭʰuꟲ,rhuk,ṭʰuk,,,,,,,
174,4296b. A,馵,toh,tśoꟲ,,,注,toh,tśoꟲ,,,,,,,,,
175,4386b. A,㹥,toh,tśoꟲ,,,注,toh,tśoꟲ,,,,,,,,,
176,2066a. A,尌,doh,dźoꟲ,,,駐,???,???,,,,,,,,,
177,3763b. A,𦒶,doh,dźoꟲ,,,樹,doh,dźoꟲ,,,,,,,,,
178,5887a. A,絇,ɡo,ɡuo,,,鳩,ku,ku,,Coblin also givs 絇 a voiceless initial reading.,,,,,,,
179,3956b. C,𥸤,jokh,joꟲ,,,籥,jauk,jɑuk,,,,,,,,,
180,5870a. A*,紴,???,???,,,被,"baiʔ, baih",bɨɑiᴮ/ꟲ,phai,pʰɨɑi,phaih,pʰɨɑiꟲ,波,pâi,pɑi,,
181,4067a. A,𩴓,nâi,nɑi,,,儺,nâi,nɑi,,,,,,,,,
182,5293b. 𪉤，河內謂之𪉤，沛人言若虘,𪉤,???,???,,,虘,dzâ,dzɑ,,,,,,,,,
183,5082b. A,滒,kâi,kɑi,,,哥,kâi,kɑi,,,,,,,,,
184,1191a. A,𩰫,kôi,kuɑi,,,過,kôi,kuɑi,,,,,,,,,
185,2602b. A,楇,???,???,,,過,kôih,kuɑiꟲ,kôi,kuɑi,,,,,,,
186,915b. C,龢,wâi,ɣuɑi,,,和,wâi,ɣuɑi,,,,,,,,,
187,2736b. A,囮,ŋwâi,ŋuɑi,,,譌,ŋwâi,ŋuɑi,,,,,,,,,
188,2048b. A*,⿳一㇒𠃊,hâi,hɑi,,,呵,hâi,hɑi,,,,,,,,,
189,5560b. A,妸,ʔâi,ʔɑi,,,阿,ʔâi,ʔɑi,,,,,,,,,
190,5551b. A,妿,ʔâi,ʔɑi,,,阿,ʔâi,ʔɑi,,,,,,,,,
191,6140. A,埵,tôiʔ,tuɑiᴮ,,,朶,tôiʔ,tuɑiᴮ,,,,,,,,,
192,4100b. B,嶞,lôiʔ,duɑiᴮ,,,憜,lôiʔ,duɑiᴮ,,,,,,,,,
193,4791a. B,惢,snôiʔ,suɑiᴮ,,,瑣,sôiʔ,suɑiᴮ,,,,,,,,,
