,,,OCM,LHan,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,,,,OCM,LHan
101,"ZL, Guoshi 186.A",蟈,kwrə̂k,kuɛk,,,,,蜮,wə̂k,ɣuək,wək,wɨk,COBLIN GIVES 蟈 A VOICED INITIAL AND 蜮 A VOICELESS INITIAL,,,,
102,"ZL, Kaogongji, Gongren 250. B",測,tshrək,tṣʰɨk,,,,,惻,tshrək,tṣʰɨk,,,,,,,
103,"ZL, Kaogongji, Gongren 248. B",檍,ʔək,ʔɨk,,,,,億,ʔək,ʔɨk,,,,,,,
104,"ZL, Kaogongji, Cheren 248. A",服,bək,buk,,,,,負,bəʔ R!,buəᴮ,,,,,,,
105,"ZL, Shìshī 192. D",汋,tiauk,tśɑk,,,,,酌,tiauk,tśɑk,,,,,,,
106,"ZL, Kaogongji 222. B",轐,pôk,pok,,,,,僕,bôk,bok,phôk,pʰok,,,,,
107,"ZL, Kaogongji 222. D",樸,phôk,pʰok,,,,,僕,phôk,pʰok,,,,,,,
108,"ZL, Kaogongji, Fangren 240. A",⿳𣅽大氺,???,???,,,,,剝,prôk,pɔk,,,,,,,
109,"ZL, Huzhuoshi 186.* 獨讀為濁其源之濁。音與涿相近。",獨,dôk,dok,,,,,濁,drôk,ḍɔk,,,,,涿,trôk,"ṭɔk,  ṭiok"
110,"ZL, Dasima 156. C",摝,rôk,lok,,,,,弄,rôŋh,loŋꟲ,,,,,,,
111,"ZL, Kaogongji, Taoren 240. A",觳,ɡôk,ɡok,,,,,斛,ɡôk,ɡok,,,,,,,
112,"ZL, Dasima 154. D",鐲,drôk,ḍɔk,,,,,濁,drôk,ḍɔk,,,,,,,
113,"ZL, Kaogongji, Baoren 234. D",腛,ʔrôk,ʔɔk,,,,,渥,ʔrôk,ʔɔk,,,,,,,
114,"ZL, Kaogongji, Baoren 234. D",搏,pâk,pɑk,,,,,縛,bak,buɑk,,,,,,,
115,"ZL, Dasima 155. A*",貉,mrâk,mak,,,,,禡,mrâh,maꟲ,,,,,,,
116,"ZL, Zeshi 206. B",柞,tsrâk,tṣak,,,,,唶,tsakh,tsiaꟲ,,,,,笮,tsrâk,tṣak
117,"ZL, Kaogongji, Lunren 223. D",柞,tsrâk,tṣak,,,,,唶,tsakh,tsiaꟲ,,,,,,,
118,"ZL, Kaogongji, Gongren 249. B",昔,sak or sjak?,siak,,,,,錯,—,tsʰɑk,,,,,,,
119,"ZL, Kaogongji, Gongren 250. A",液,jak,jak,,,,,醳,lak,jak ~ jɑk,,,,,,,
120,"ZL, Zhashi 203. A",脊,dzek,dziek,,,,,㱴,???,???,,,,,,,
121,"ZL, Checushi 186. A",硩,"thret, thêk","ṭʰiat, tʰek",,,,,擿,drek,ḍiek,,,,,,,
122,"ZL, Zhuzi 167. B",卒,tshût,tsʰuət,,,,,倅,tshûts,tsʰuəs,,,,,,,
123,"ZL, Neisifu 49. 屈者音聲與闕相似。",屈,khut,kʰut,,,,,闕,khot,kʰyɑt,,,,,,,
124,"ZL, Kaogongji 221. D",榔,???,???,,,,,櫛,tsrit,tṣit,,,,,,,
125,"ZL, Kaogongji, Fangren 240. A",髺,kwât,kuɑt,,,,,刮,kwrât or krôt,kuat,,,,,,,
126,"ZL, Yeshi 230. A",鋝,rot,lyat,,,,,刷,srot,ṣuat,,,,,,,
127,"ZL, Kaogongji, Lunren 223. A",摰,ŋêt,ŋet,,,,,槷,ŋêt,ŋet,,,,,,,
128,"ZL, Sheniaoshi 165. A",夾,krêp,kɛp,,,,,甲,krâp,kap,,,,,,,
129,"ZL, Fengren 50. A",接,tsap,tsiap,,,,,歰,???,???,,,,,,,
130,"ZL, Shijin 134. E",敘,s-laʔ,ziɑᴮ,,,,,序,s-laʔ,ziɑᴮ,,,,,,,
131,"ZL, Xiaozhu 136. E",銘,mêŋ,meŋ,,,,,名,meŋ R!,mieŋ,,,,,,,
132,"ZL, Sijiyan 110. A",純,"tunʔ, tuns",tśuinᴮ/ꟲ,,,,,緣,lons,juanꟲ,,,,,,,
133,"ZL, Zhangshe 38. E",棘,kək,kɨk,,,,,戟,krak,kɨak,,,,,,,
134,"ZL, Sijiyan 110. E",柏,prâk,pak,,,,,迫,prâk,pak,,,,,,,
135,"ZL, Hanren 233. E",合,ɡə̂p,ɡəp,,,,,甲,krâp,kap,,,,,,,
136,147,舉,klaʔ,kɨɑᴮ,,,,,所,sraʔ,ṣaᴮ,,,,,,,
137,157,宜,ŋai,ŋɨai,,,,,嘉,krâi,kai,,,,,,,
138,193,生,sreŋ,ṣeŋ,,,,,傾,khweŋ,kʰyeŋ,,,,,,,
139,201,芬,phən,pʰun,,,,,珍,trən,ṭɨn,,,,,,,
140,201,顛,tîn,ten,,,,,伸,lhin,śin,,,,,,,
141,212,煙,ʔîn,ʔen,,,,,邊,pên,pen,,,,,,,
142,212*,謙,khêm,kʰem,,,,,諐,khan,kʰɨan,,,,,,,
143,---*,久,kwəʔ R!,kwuəᴮ R!,,,,,止,təʔ,tśɨᴮ,,,,,,,
