#page	num	CH	OJ	OC	LH	EMC	LMC	GO	KN	NOM	SV	SK	LH
13	1	阿	 a	 *ʔâ	 *ʔa	 ʔa		 a	 a	 a	 a	 a
56	106	榎	 e	 *krâh	 kah	 kaɨ > kɛ: SV: giá		 ke	 ka	 giá, giả, hạ		 ka
56	107	荏	 e	 *nəmʔ	 ńimʔ	 nyim		 nimu	 zimu	 nhẫm	 nhẫm	 im
57	108	得	 e	 *tə̂k	 tək	 tək		 toku	 toku	 đắc, đác	 đắc	 tuk
57	109	朴	 e	 *phok	 pok	 phaɨwk		 foku	 faku	 phác, phắc, vóc	 phác	 pak
57	110	可愛	 e	---	---	---		---	---	---	---	---
58	111	我	 ga	 *ŋâiʔ	 ŋɑiʔ	 ŋa		 ga	 ga	 ngã, ngả	 ngã	 a
59	112	奇	 ga	 *kai	 kɨɑi	 ɡiə		 ki	 ki	 cả, cơ, ký	 cơ, ký	 kuy
59	113	宜	 ga	 *ŋai	 ŋɨɑi	 ŋiă		 gi	 gi	---	 nghi	 uy
59	114	賀	 ga	 *ɡâih	 ɡɑih	 ɣa	 xɦa	 ga	 ka	 hạ	 hạ	 ha
60	115	何	 ga	 *ɡâi	 ɡai	 ɣa		 ga	 ka	 hà	 hà	 ha
60	116	河	 ga	 *ɡâi	 ɡɑi	 ɣa		 ga, gaa	 ka	 hà	 hà	 ha
60	117	蛾	 ga	 *ŋâi	 ŋɑi	 ŋa		 ga	 ga	---	 nga	 a
61	118	餓	 ga	 *ŋâih	 ŋɑih	 ŋa		 ga	 ga	---	 nga, ngã	 a
61	119	峨	 ga	 *ŋâi	 ŋai	 ŋa	 ŋa	 ga	 ga	---	 nga	 a
61	120	俄	 ga	 *ŋâi	 ŋɑi	 ŋa	 ŋa	 ga	 ga	 nga	 nga	 a
62	121	鵝	 ga	 *ŋâi	 ŋɑi	 ŋa	 ŋa	 ga	 ga	---	 nga	 a
62	122	義	 ge	 *ŋaih	 ŋɨɑih	 ŋia		 gi	 gi	 nghĩa, nghì	 nghĩa	 uy
63	123	宜	 ge	 *ŋai	 ŋɨɑi	 ŋia		 gi	 gi	 nghi, nghí, ngơi	 nghi	 uy
64	124	礙	 ge	 *ŋ̂kh	 ŋəh	 ŋəj		 gai	 gai	 ngại	 ngại	 ay
64	125	碍	 ge	 *ŋ̂kh	 ŋəh	 ŋəj		 gai	 gai	 ngại	 ngại	 ay
65	126	㝵	 ge	 *ŋ̂kh	 ŋəh	 ŋəj		 gai	 gai	 ngại	 ngại	 ay
65	127	皚	 ge	---	---	 ŋəj	 ŋaj	 gai	 gai	 ngai	 ngai	 ay
65	128	祇	 gi	 *ke	 kie, ɡɨi	 ɡjiə		 gi	 ki	 chỉ	 ký, khì, kì	 ki
65	129	藝	 gi	 *ŋets	 ŋias	 ŋjiaj		 gei	 gei	 nghệ, nghề	 nghệ	 yey
66	130	儀	 gi	 *ŋai	 ŋɨɑi	 ŋia	 ŋi	 gi	 gi	 nghi, nghì	 nghi	 uy
66	131	蟻	 gi	 *ŋaiʔ	 ŋɨɑiʔ	 ŋia	 ŋi	 gi	 gi	---	 nghĩ, nghị	 uy
67	132	������	 gi	 *ɡri	 ɡɨ	 ɡji		 gi	 ki	---	 kỳ	 ki
67	133	其	 go	 *ɡə	 ɡɨə	 ɡɨ		 gi	 ki	 cà	 kỳ, kì	 ki, kuy
68	134	期	 go	 *ɡə or *kə	 ɡɨə, kɨə	 ɡɨ, kɨ		 go, gi	 ki	 kỳ, cờ	 kỳ, kì	 kuy
69	135	碁	 go	 *ɡə	 ɡɨə	 ɡɨ		 go, gi	 ki	 cời	 kỳ, kì	 kuy
69	136	凝	 go	 *ŋəŋ	 ŋɨəŋ	 ŋiŋ		 gou	 gyou	 ngâng, ngững	 ngưng	 ung
70	137	語	 go	 *ŋaʔ or *ŋah	 ŋɨɑʔ or ŋɨɑh	 ŋɨa	 ŋya	 go	 gyo	 ngỡ, ngữ, ngữa	 ngữ, ngự	 e
70	138	馭	 go	 *ŋah	 ŋîɑ	 ŋɨa	 ŋya	 go	 gyo	 ngựa	 ngự	 e
70	139	御	 go	 *ŋah	 ŋɨɑh	 ŋɨa	 ŋya	 go	 gyo	 ngự, ngợ	 ngự	 e, a
71	140	具	 gu	 *ɡoh	 ɡuoh	 ɡju		 gu	 ku	 cự	 cự	 kwu
72	141	吾	 gu	 *ŋâ	 ŋɑ			 gu	 go	 ngo	 ngô	 wo
72	142	遇	 gu	 *ŋoh	 ŋɨoh	 ŋua		 gu	 guu	 ngộ	 ngộ	 wu
72	143	娯	 gu	 *ŋwa	 ŋyɑ > ŋuɔ	 ŋua	 ŋya	 gu	 go	 ngu	 ngụ, ngu	 wu
73	144	求	 gu	 *ɡu	 ɡu	 ɡuw		 gu	 kyuu	 càu, cầu	 cầu	 kwu
73	145	隅	 gu	 *ŋo	 ŋɨo	 ŋua		 gu	 guu	 ngu	 ngu, ngung	 wu
73	146	愚	 gu	 *ŋo	 ŋɨo	 ŋua		 gu	 guu	 ngu	 ngu	 wu
74	147	虞	 gu	 *ŋwa	 ŋyɑ	 ŋua	 ŋya	 gu	 gu	---	 ngu	 wu
74	148	群	 guri	 *ɡun	 ɡun	 ɡun		 gumu	 kun	 quần, quằn	 quần	 kun
74	149	“I	 gwi	 *ŋə	 ŋɨə	 ŋjɨ		 gi	 gi	 ngờ, nghi	 nghi	 uy, ung, ul, ek
75	150	宜	 gwi	 *ŋai	 ŋɨɑi	 ŋia		 gi	 gi	---	 nghi	 uy
75	151	義	 gwi	 *ŋaih	 ŋɨɑih	 ŋia		 gi	 gi	 nghĩa, nghì	 nghĩa	 uy
76	152	擬	 gwi	 *ŋəʔ	 ŋɨəʔ	 nɨʔ	 ŋi	 gi	 gi	 nghĩ	 nghĩ	 uy
76	153	吾	 gwo	 *ŋâ	 ŋɑ > ŋɔ	 ŋɔ		 gu	 go	 ngo	 ngô	 wo
77	154	胡	 gwo, kwo	 *ɡâ	 ɡɑ > ɡɔ	 ɣɔ	 xɦuə	 go	 ko	 hò, hồ	 hồ	 hwo
78	155	候	 gwo	 *ɡô	 ɡo	 ɣəw		 go	 kou	 hầu	 hầu, hậu	 wo
79	156	後	 gwo	 *ɡôʔ or *ɦôʔ	 ɡoʔ or ɣoʔ	 ɣəw		 go	 kou	 hậu	 hậu	 wo
79	157	虞	 gwo	 *ŋwa	 ŋyɑ	 ŋua		 go	 gu	---	 ngu	 wu
79	158	誤	 gwo	 *ŋwâh	 ŋuɑh > ŋuoh	 ŋɔ	 ŋuə	 go	 go	 ngộ	 ngộ	 wo
79	159	呉	 gwo	 *ŋwâ	 ŋuɑ > ŋuɔ	 ŋɔ		 gu	 go	 ngo	 ngô	 wo
80	160	悟	 gwo	 *ŋâh	 ŋɑh > ŋɔ	 ŋɔ	 ŋuə	 go	 go	 ngộ	 ngộ	 wo
80	161	娯	 gwo	 *ŋwa	 ŋyɑ > ŋuɔ	 ŋua	 ŋya	 go	 go	 ngu	 ngụ, ngu	 wu
80	162	下	 gye	 *ɡrâʔ	 ɡaʔ	 ɣɛ: GO: ge			 ka	 hạ	 há, hạ	 ha
81	163	牙	 gye	 *ŋrâ	 ŋa	 ŋɛ: GO: ge			 ga	 nha, ngà	 nha	 a
81	164	介	 gye	 *krê(t)s	 kɛs	 kɛ:j		 ke	 kai	 giới	 giới	 kay, kal
81	165	雅	 gye	 *ŋrâʔ	 ŋaʔ	 ŋɛ: GO: ga			 ge	 nhá, nhã	 nhã, nha	 a
82	166	夏	 gye	 *ɡrâʔ	 ɡaʔ	 ɣɛ: GO: ge			 ka	 hạ	 hạ	 ha
82	167	霓	 gye	 *ŋê or *ŋêt	 ŋe or ŋet	 ŋɛj	 ŋjiaj	 gei	 gei	 nghi, mống	 nghê	 yey, yek
83	168	伊	 i	 *ʔi	 *ʔi	 ʔji		 i	 i	 y	 y	 i
84	169	夷	 i	 *l(ə)i	 ji	 ji		 i	 i	 dì, di, dai	 di	 i
84	170	移	 i	 *lai	 *jɑi	 jiă	 ji	 i	 i	 dời, dây, dê	 di, dị	 i
85	171	已	 i	 *ləʔ	 jəʔ	 jɨ > ji		 i	 i	 dĩ	 dĩ	 i
85	172	異	 i	 *ləkh	 jəh	 jɨ > ji	 ji	 i	 i	 dị	 dị	 i
86	173	以	 i	 *ləʔ		 jɨ	 ji	 i	 i	 dĩ	 dĩ	 i
86	174	怡	 i	 *lə	 jə	 jɨ	 ji	 i	 i	 di	 di	 i
86	175	易	 i	 *lekh or *lek	 jeh or jek			 i, yaku	 i, eki	 dịch, diệc, dễ	 dị, dịch	 i, yek
87	176	射	 i	 *m-lak or *m-lakh	 źak, źah	 jiajk, jia		 yaku, ya, zia	 eki, ya, sia	 xạ	 xạ	 sya, syek, ya
87	177	五	 i	 *ŋâʔ	 ŋɑʔ	 ŋɔ		 go	 go	 ngũ	 ngô, ngũ	 wo
87	178	膽	 i	 *tâmʔ	 tɑmʔ	 tam		 tamu	 tamu	 đảm	 đảm	 tam
87	179	馬聲	 i	---	---	---		---	---	---	---	---
88	180	因	 ina	 *ʔin	 ʔin	 ʔjin		 imu	 imu	 nhân	 nhân	 in
88	181	印	 ini, i	 *ʔins	 ʔinh	 ʔjin		 i, imu	 in	 ấn, in	 ấn	 in
88	182	揖	 ipi, ipu	 *tsəp or *tsrəp	 tsip	 ʔjip		 ifu	 ifu	 ấp, ập, ắp	 ấp, tập	 up, cup
