,,,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan
378,657b. A,𤕦,???,???,,,禳,naŋ,ńɑŋ,,,,,,,,,
379,615b. B,哽,krâŋʔ,kaŋᴮ,,,綆,krâŋʔ,kaŋᴮ,,,,,,,,,
380,6148a. B,埂,krâŋʔ,kaŋᴮ,,,綆,krâŋʔ,kaŋᴮ,,,,,,,,,
381,4177a. A,磺,???,???,,,穬,???,???,,,,,,,,,
382,5656b. A*,氓,mrə̂ŋ,mɛŋ,,,盲,mrâŋ,mɑŋ,,,,,,,,,
383,5728a. A,匚,paŋ,puɑŋ,,,方,paŋ,puɑŋ,,,,,,,,,
384,2673a. A*,㞷,???,???,,,皇,wâŋ,ɣuɑŋ,,,,,,,,,
385,6463b. A*,𨌂,ɡwaŋ,ɡyɑŋ,,,狂,ɡwaŋ,ɡyɑŋ,,,,,,,,,
386,2162a. A,皀,haŋ,hɨɑŋ,,,香,haŋ,hɨɑŋ,,,,,,,,,
387,3615a. A,像,s-jaŋʔ,zɨɑŋᴮ,,,養,jaŋʔ,jɑŋᴮ,,,,,,,,,
388,1101a. A,誩,???,???,,,競,ɡəŋ,ɡɨŋ,,,,,,,,,
389,2118a. A,皿,mraŋʔ,mɨaŋᴮ,,,猛,mrâŋʔ,maŋᴮ,,,,,,,,,
390,3272b. A,𥥊,???,???,,,猛,mrâŋʔ,maŋᴮ,,,,,,,,,
391,3009a. A,囧,kwraŋʔ,kyaŋᴮ,,,獷,kwrâŋʔ,kuɑŋꟲ,,,,,,,,,
392,(6225a). A*,勨,???,???,,,演,janʔ,janᴮ ?,,,,,,,,,
393,Deleted,,,,,,,,,,,,,,,,,
394,1519a. A,𨾔,???,???,,,方,paŋ,puɑŋ,,,,,,,,,
395,676b. A,䞪,dzaŋh,dziɑŋꟲ,,,匠,dzaŋh,dziɑŋꟲ,,,,,,,,,
396,2161b. A,刱,tshraŋh,tṣʰɑŋꟲ,,,創,tshraŋh,tṣʰɑŋꟲ,,,,,,,,,
397,1287b. A,臦,kwaŋh,kyɑŋꟲ,,,誑,kwaŋh,kyɑŋꟲ,,,,,,,,,
398,4526b. A,䵮,laŋh,jɑŋꟲ,,,煬,laŋh,jɑŋꟲ,,,,,,,,,
399,5886a. A,䋫,???,???,,,旌,tseŋ,tsieŋ,,,,,,,,,
400,5493b. B*,摼,khrêŋ,kʰɛŋ,,,鏗,khrêŋ,kʰɛŋ,,,,,,,,,
401,6452a. B*,䡩,khrêŋ,kʰɛŋ,,,鏗,khrêŋ,kʰɛŋ,,,,,掔,"khîn, khrîn","kʰen, kʰɛn",,
402,1227b. A,𨳐,???,???,,,縣,ɡwên,ɣuen,,,,,,,,,
403,5584b. B,婧,"tseŋ, tsêŋ",ts(i)eŋ,,,菁,"tseŋ, tsêŋ",ts(i)eŋ,,,,,,,,,
404,6315b. B,鑋,kheŋ,kʰieŋ,,,𨆪,kheŋ,kʰieŋ,,,,,,,,,
405,6428a. A,𨍶,???,???,,,𠙦,???,???,,,,,,,,,
406,680b. A,赹,???,???,,,𠙦,???,???,,,,,,,,,
407,3752a. B,褮,???,???,,,縈,ʔweŋ,ʔyeŋ,,,,,,,,,
408,6272a. A,鎣,???,???,,,銑,sə̂nʔ,senᴮ,,,,,,,,,
409,1177b. B,䩶,rheŋʔ, ṭʰieŋᴮ,,,騁,rheŋʔ, ṭʰieŋᴮ,,,,,,,,,
410,2547a. A*,㮐,???,???,,,驪,"rê, re","le,lie",,,,,駕,krâih,kaiꟲ,,
411,(995b). B,証,teŋh,tśeŋꟲ,,,正,teŋh,tśeŋꟲ,,,,,,,,,
412,5745b.A,𤳊,bêŋ,beŋ,,,輧,bêŋ,beŋ,,,,,,,,,
413,6509a. A,䦺,têŋ,teŋ,,,丁,têŋ,teŋ,,,,,,,,,
414,5810a. C,䋼,lhêŋ,tʰeŋꟲ,,,聽,lhêŋ,tʰeŋꟲ,,,,,,,,,
415,2138a. A,𧖧,dêŋ,deŋ,,,亭,dêŋ,deŋ,,,,,,,,,
416,2812b. A,𨚶,nêŋ,neŋ,,,寧,nêŋ,neŋ,,,,,,,,,
417,4471a. A,烓,???,???,,,冋,kwêŋ,kueŋ,,,,,,,,,
418,938b. A,𠷓,???,???,,,聲,hjeŋ,śeŋ,,,,,,,,,
419,5812b. A,緈,???,???,,,陘,ɡêŋ,ɡeŋ,,,,,,,,,
420,6030a. A,䖵,kûn,kuən,,,昆,kûn,kuən,,,,,,,,,
421,2539a. B,楎,hwəi,hui,,,渾,ɡûn,ɣuən,,,,,,,,,
