鵠	gouk kouk
屠	da
覩	tɑʔ
筑	ṭuk
竺	touk
妬	tah
杜	dɑʔ
聰	tshoŋ
鋭	juas
砥	tśiʔ
礪	lias
汚	ʔua
兎	tʰɔ
鵜	dei
卯	mɔuʔ
鸕	lɑ
倭	ʔyai
涴	ʔuan
丸	ɣuan
穢	ʔyas
衞	was wah
佪	ɣuəi
廻	ɣuəi
慧	ɣues ɣueh
隈	ʔuəi
座	dzuɑih dzuɑiʔ
咲	tshiauh siauh
韋	wui
偉	wiuʔ
猪	tra
藺	linh
袁	wan
弘	ɣuəŋ
嗚	ʔa
惋	ʔuanʔ
綬	dźuh
峽	ɡɛp
𠮧	keuh
益	ʔiek
耶	ja
箭	tsianh
叡	juas
遥	jau
穎	weŋʔ
預	jaʔ
喩	joh
瑜	jo
庾	joʔ
𠰩	joŋh
奢	śa
蔵	dzɑŋ
謝	ziah
奘	dẓɑŋh
裝	dẓɑŋh
敍	ziɑʔ
鐏	dzuənh
儒	ńo
裾	kɨɑ
琚	kɨɑ
辜	kuo
闔	gɑp
劫	kɨɑp
竽	wɑ
伍	ŋɑᴮ
娛	ŋyɑ
暑	śɑᴮ
爐	lɑ
虜	lɑᴮ
組	tsɑᴮ
阻	tṣɑᴮ
疏	ṣɑ
疎	ṣɑ
搏	pɑk
黼	puɑᴮ
捕	bɑᶜ
釜	buɑᴮ
脯	puɑᴮ
洛	lɑk
鵲	tsʰiɑk
畺	kɨɑŋ
僵	kɨɑŋ gɨɑŋ
强	gɨɑŋ
荇	gaŋᴮ
薌	hɨɑŋ
亨	hɨɑŋᴮ
泱	ʔɨɑŋ
徨	ɣuɑŋ
篁	ɣuɑŋ
璋	tśɑŋ
彰	tśɑŋ
掌	tśɑŋᴮ
堂	dɑŋ
悵	ṭʰiɑŋᶜ
觴	śɑŋ
颺	jɑŋ
暢	ṭʰiɑŋᶜ
狼	lɑŋ
粮	liɑŋ
蹌	tsʰiɑŋ
愴	tṣʰɑŋᶜ
壯	tṣɑŋᶜ
牆	dziɑŋ
牀	dẓɑŋ
漿	tsiɑŋ
莊	tṣɑŋ
廧	dziɑŋ
妝	tṣɑŋ
箱	siɑŋ
彭	baŋ bɑŋ pɑŋ
丙	pɨɑŋᴮ
巟	huɑŋ
祺	gɨə
軌	kwɨəᴮ kuɨᴮ
恢	kʰuə
嬉	hɨə
熹	hɨə
持	ḍɨə
祉	ṭʰɨəᴮ
挨	ʔə ʔɛʔ
殆	dəᴮ
矣	jəᴮ
飴	jə
姒	ziəᴮ
俟	dẓiəᴮ
巳	zɨ ziəᴮ
祀	zɨ ziəᴮ
汜	zɨ ziəᴮ
姬	kɨə
頤	jɨ jə
宰	tsəᴮ
祠	ziə
圮	bɨᴮ bɨəᴮ
悔	huəᶜ
殛	kɨk
億	ʔɨk
熾	tśʰə
翌	jək
翊	jək
徠	lə
稷	tsɨk
繒	tsəŋ
街	kɛ
卦	kuɛᶜ
碑	pie
册	tṣɛk
壁	pek
璧	piek
幸	gɛŋᴮ ṇɑp
褧	kʰueŋᴮ
鶯	ʔɛŋ
煢	gyeŋ
纓	ʔieŋ
綻	ḍɛnᶜ
楨	ṭieŋ
誠	dźeŋ
楹	jeŋ
程	ḍieŋ
呈	ḍieŋ
霆	deŋ
廷	deŋ deŋᶜ
軨	leŋ
齡	leŋ
苓	leŋ
晶	tsieŋ
精	tsieŋ
牲	ṣeŋ
旌	tsieŋ
竝	beŋᴮ
幷	peŋ peŋᶜ
耦	ŋoᴮ
株	ṭio
姝	tśʰo
銖	dźo
榆	jo
陋	loᶜ
襦	ńo
瘦	ṣuᶜ
鮒	buoᶜ
鳧	buo
斛	gok
确	gɔk
縠	kok
轂	kok
勖	huok
玉	ŋuok
獄	ŋuok
頹	tʰok duəi
蜀	dźok
濁	ḍɔk
綠	liok
祿	lok
杠	kɔŋ
幢	ḍɔŋ
桐	doŋ
頌	zioŋᶜ
丂	kʰouᴮ
㱙	huᴮ
巧	kʰɔuᴮ kʰɔuᶜ
咎	guᴮ
優	ʔu
壽	dźuᴮ
調	deu
胄	ḍuᶜ
牖	juᴮ
囚	ziu
柳	liuᴮ
艸	tsʰouᴮ
棗	tsouᴮ
奧	ʔouᶜ
覿	dek deuk
蕭	seu
复	buk
穆	muk
充	tśʰuŋ
統	tʰouŋᶜ
激	keuᶜ kek
䡈	kɔk
号	ɣɑuᶜ
孝	xauᶜ
遨	ŋɑu
敖	ŋɑu
饒	ńɑu
譊	ṇau
堯	ŋeu
祧	tʰeu
姚	jɑu
繇	jɑu ḍuᶜ
謠	jɑu
遙	jɑu
旄	mɑu
皃	mauᶜ
邈	mɔk
貌	mauᶜ
苗	mɨɑu
綽	tśʰɑk
旳	tek
雀	tsiɑk
旖	ʔɨaiᴮ
蘿	lɑi
陂	pɨɑi pɨɑiᶜ
禍	ɣuɑiᴮ
虧	kʰyai
惰	duɑiᴮ duɑiᶜ
潔	ket
埶	dzet
烕	hyat
渫	siat
賴	lɑs
裂	liat
祭	tsias
爛	lɑnᶜ
柬	kɛnᴮ
捐	wen
翩	pʰian
眄	menᴮ menᶜ
軒	hɨɑn
玕	kɑn
案	ʔɑnᶜ
漣	lian
嘆	tʰɑn tʰɑnᶜ
殘	dzɑn
遷	tsʰian
藩	puɑn
蔓	muɑnᶜ
免	mɨanᴮ munᶜ
館	kuɑnᶜ
歡	huɑn
驩	huɑn
雚	kuɑnᶜ
患	kuanᶜ
串	ɣuɑnᶜ
奐	huɑnᶜ
煥	huɑnᶜ
瑞	dźuaiᶜ
蠻	man
肌	kɨ
鴟	tśʰi
履	liᴮ
藜	li lei
齋	dzei tsi
晞	hɨi
薇	mui
愧	kuɨᶜ
嵬	ŋuəi ŋuəiᴮ
迴	ɣuəi
徊	ɣuəi
闈	wui
懷	ɣuɛi
乖	kuɛi
帷	wɨ
隤	duəi
穴	ɣuet
駟	sis
瑟	ṣit
弼	bɨt
溉	kəs
紼	put
尉	ʔus
詘	kʰut
咄	tuət
戌	suit
矜	gɨn kuɛn
恩	ʔən
煙	ʔen
淵	ʔuen
鎮	ṭin ṭinᴮ ṭinᶜ
慎	dźinᶜ
敶	ḍin ḍinᶜ
舜	śuinᶜ
鄰	lin
麟	lin
戩	tsinᴮ
臻	tṣin
繽	pʰin
頎	gɨi
殷	ʔɨən ʔɨənᴮ ʔɛn
殄	denᴮ
寅	jɨn ji
汶	munᶜ mən
坤	kʰuən
巛	kʰuən
羣	gun
揮	hui
勳	hun
侖	luin
倫	luin
崙	luən
樽	tsuən
遵	tsuin
準	tśuinᴮ
諜	dep
驗	ŋɨamᶜ
嶮	hɨamᴮ
給	kɨp
极	gɨap
吟	ŋɨm
琴	gɨm
侌	ʔɨm
唫	gɨmᴮ
愔	ʔɨm
襟	kɨm
乕	hɑᴮ
亰	kɨaŋ
鄕	hɨɑŋ hɨɑŋᶜ hɨɑŋᴮ
尙	dźɑŋᶜ
偒	śɑŋ
郞	lɑŋ
眀	mɨɑŋ
軄	tśɨk
儿	ńe
㓝	geŋ
争	tṣɛŋ
淸	tsʰieŋ
詺	mieŋ
矦	go
娄	lio lioᴮ lo loᴮ
㢕	ʔuoŋ
𣧑	huoŋ
𩔜	zioŋᶜ
竜	lioŋ
藂	dzoŋ
従	dzioŋ dzioŋᶜ tsioŋ tsʰioŋ tsoŋᴮ
峯	pʰuoŋ
冝	ŋɨe ŋɨai
𤨏	suɑiᴮ
𢅷	pias
𠛱	liat
万	ṭʰas mas muɑnᶜ
嵗	syas
顕	henᴮ
顔	ŋan
毌	kuɑn
巻	kyanᴮ gyan
湶	dzyan
囘	ɣuəi
莭	tset dzet
亖	sis
驎	lin
秊	nen
亲	tsʰin
唇	tśɨn tśɨnᶜ
脇	hɨɑp
内	nuəs nəp
飮	ʔɨmᴮ ʔɨmᶜ
